cod_provincia,provincia,cod_ncm_6d,ncm_6d,seccion,tiene_vcr,centralidad,complejidad_producto,complejidad_provincia
2,Ciudad Autónoma de Buenos Aires,10129,"Caballos, exc. reproductores de raza pura","Agro, Alimentos y Bebidas",0,0.1663,0.0937,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,10619,Animales mamíferos ncop.,"Agro, Alimentos y Bebidas",0,0.1621,-0.0684,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,20621,Lenguas bovinas congeladas,"Agro, Alimentos y Bebidas",0,0.0943,-0.843,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,20622,Hígados bovinos congelados,"Agro, Alimentos y Bebidas",0,0.1358,,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,20629,"Despojos de bovinos, comestibles, congelados","Agro, Alimentos y Bebidas",0,0.1186,-1.1601,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,50400,"Tripas, vejigas y estómagos de animales, excl. pescados","Agro, Alimentos y Bebidas",0,0.1641,-0.9798,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,80212,Almendras s/cáscara,"Agro, Alimentos y Bebidas",0,0.1028,-0.7982,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,110720,"Malta tostada,entera o partida","Agro, Alimentos y Bebidas",0,0.1732,0.0554,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,130190,Goma laca,"Agro, Alimentos y Bebidas",0,0.0968,-2.6728,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,150210,Sebo bovino en bruto,"Agro, Alimentos y Bebidas",0,0.1151,-0.6267,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,160250,Preparaciones bovinas,"Agro, Alimentos y Bebidas",0,0.137,-0.5476,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,170290,Otros azúcares ncp. incluido azúcar invertido,"Agro, Alimentos y Bebidas",0,0.1331,-0.9033,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,170490,Chocolate blanco,"Agro, Alimentos y Bebidas",0,0.1665,-0.5501,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,180500,Cacao en polvo s/azucarar ni edulcorar,"Agro, Alimentos y Bebidas",0,0.1577,-0.8973,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,180620,Prep. cacao ncp. en envases >2 kg,"Agro, Alimentos y Bebidas",0,0.1679,0.1316,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,180631,Chocolate bloques/tabletas/barras rellenos,"Agro, Alimentos y Bebidas",0,0.1993,,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,180632,"Chocolate bloques/tabletas/barras, s/rellenar","Agro, Alimentos y Bebidas",0,0.2017,0.4065,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,180690,Chocolate/prep. alimenticias c/cacao ncp.,"Agro, Alimentos y Bebidas",0,0.2011,0.2707,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,190120,Mezclas y pastas p/preparación productos de partida 1905,"Agro, Alimentos y Bebidas",0,0.1912,0.2589,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,190190,"Extracto de malta, dulce de leche y las demás preparaciones ncop.","Agro, Alimentos y Bebidas",0,0.1614,-0.2687,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,190410,Productos a base de cereales inflados/tostados,"Agro, Alimentos y Bebidas",0,0.1784,-0.3547,0.0878689687339134
2,Ciudad Autónoma de Buenos Aires,190531,Galletas dulces c/adición edulcorante,"Agro, Alimentos y Bebidas",0,,-0.6037,0.0878689687339134
